phase,epoch,loss,iou,dice,precision,recall,f1
teacher,1,1.047920713822047,17.79632568358832,30.19029436490758,17.79632568358832,99.9999999998274,30.190294108782826
teacher,2,0.9866161247094473,28.374200434473476,44.128074582633275,28.374974754139625,99.99206475145414,44.128074239283464
teacher,3,0.8319442371527354,71.49425678381179,83.35778997874894,72.49122274417661,98.11806157818677,83.35778949013182
teacher,4,0.6473528146743774,70.42380664553798,82.62008296154062,71.06365314941131,98.73624436072717,82.62008247495032
teacher,5,0.5055988729000092,69.90548228413526,82.26545845215668,70.47919566986303,98.84635074159605,82.26545796629324
teacher,6,0.39967801173528034,70.91313907262139,82.96033314926515,71.761756635881,98.35791119383443,82.96033266158027
student,1,0.4974662860234578,69.50217454840927,81.98722096117976,70.05674972878532,98.86876685631253,81.98722047581025
student,2,0.4458812375863393,69.76516288799314,82.16802339429191,70.42815866135372,98.66581422172459,82.16802290833958
student,3,0.40561336278915405,69.95204911040575,82.29787738064081,70.64954569187162,98.60470896149857,82.29787689438017
student,4,0.3739675631125768,69.71070403465939,82.13137828493737,70.34233687214319,98.72414022114401,82.13137779912074
